source,brand,name,former_price,current_price,discount,product_link,page
,Oakley,Wire Tap 2.0 RX,,387.0,,https://www.framesdirect.com/oakley-wire-tap-2.0-rx-eyeglasses?color=3,1
,Ray-Ban,RB7047,,176.0,,https://www.framesdirect.com/ray-ban-rb7047-eyeglasses?color=10007662,1
,Versace,VE1285,300.0,210.0,30%,https://www.framesdirect.com/versace-ve1285-eyeglasses?color=3,1
,Oakley,Airdrop,,227.0,,https://www.framesdirect.com/oakley-airdrop-eyeglasses?color=1,1
,Costa,Ocean Ridge 400,,211.0,,https://www.framesdirect.com/costa-ocean-ridge-400-eyeglasses?color=1,1
,Polo,PH2083,201.0,140.7,30%,https://www.framesdirect.com/polo-ph2083-eyeglasses?color=499297,1
,RALPH by Ralph Lauren,RA7158U,141.0,98.7,30%,https://www.framesdirect.com/ralph-by-ralph-lauren-ra7158u-eyeglasses?color=1,1
,Ray-Ban,RB5397 - Elliot Optics,,210.0,,https://www.framesdirect.com/ray-ban-rb5397-elliot-optics-eyeglasses?color=1,1
,Burberry,BE2073,249.0,174.3,30%,https://www.framesdirect.com/burberry-be2073-eyeglasses?color=469971,1
,Oakley,Socket 5.5,,227.0,,https://www.framesdirect.com/oakley-socket-5.5-eyeglasses?color=13,1
,Ray-Ban,RB4340V Wayfarer Ease,,210.0,,https://www.framesdirect.com/ray-ban-rb4340v-eyeglasses?color=10021732,1
,Kate Spade,KS Marnie 2/G,240.0,168.0,30%,https://www.framesdirect.com/kate-spade-ks-marnie-2-g-eyeglasses?color=2,1
,Oakley,Plank 2.0,,187.0,,https://www.framesdirect.com/oakley-plank-2.0-eyeglasses?color=6,1
,Ray-Ban,RB3447V Round Metal,,210.0,,https://www.framesdirect.com/ray-ban-rb3447v-round-metal-eyeglasses?color=10020477,1
,XXL,Tuga,197.38,98.69,50%,https://www.framesdirect.com/xxl-tuga-eyeglasses?color=3,1
,Costa,Ocean Ridge 820,,141.0,,https://www.framesdirect.com/costa-ocean-ridge-820-eyeglasses?color=2,1
,Giorgio Armani,AR7074,327.0,228.9,30%,https://www.framesdirect.com/giorgio-armani-ar7074-eyeglasses?color=10052175,1
,Burberry,BE1268,249.0,174.3,30%,https://www.framesdirect.com/burberry-be1268-eyeglasses?color=10003834,1
,Ray-Ban,RB6335,,210.0,,https://www.framesdirect.com/ray-ban-rb6335-eyeglasses?color=10009371,1
,Gucci,GG2144Oj,400.0,340.0,15%,https://www.framesdirect.com/gucci-gg2144oj-eyeglasses?color=10061716,1
,Oakley,Holbrook RX,,187.0,,https://www.framesdirect.com/oakley-holbrook-rx-eyeglasses?color=1,1
,Dolce & Gabbana,DG3363,288.0,144.0,50%,https://www.framesdirect.com/dolce-gabbana-dg3363-eyeglasses?color=6,1
,Oakley,Tie Bar 0.5,,387.0,,https://www.framesdirect.com/oakley-tie-bar-0.5-eyeglasses?color=3,1
,Ray-Ban,RB5154 Clubmaster,,222.0,,https://www.framesdirect.com/ray-ban-rb5154-clubmaster-eyeglasses?color=392445,1
,Kate Spade,Lucyann 2,230.0,161.0,30%,https://www.framesdirect.com/kate-spade-lucyann-2-eyeglasses?color=5021770,2
,Versace,VE1274,298.0,208.6,30%,https://www.framesdirect.com/versace-ve1274-eyeglasses?color=10051376,2
,Ray-Ban,RB6421,,210.0,,https://www.framesdirect.com/ray-ban-rb6421-eyeglasses?color=10026944,2
,Oakley,HSTN SQ,,227.0,,https://www.framesdirect.com/oakley-hstn-sq-eyeglasses?color=10057640,2
,Diesel,DL5002,170.0,119.0,30%,https://www.framesdirect.com/diesel-dl5002-eyeglasses?color=1,2
,Ray-Ban,RB7185,,162.0,,https://www.framesdirect.com/ray-ban-rb7185-eyeglasses?color=10047186,2
,Oakley,Hex Jector - Alternate Fit (TruBridge),,187.0,,https://www.framesdirect.com/oakley-hex-jector-alternate-fit-eyeglasses?color=2,2
,Costa,Ocean Ridge 720,,197.0,,https://www.framesdirect.com/costa-ocean-ridge-720-eyeglasses?color=2,2
,Scuderia Ferrari,FZ7009,215.0,150.5,30%,https://www.framesdirect.com/scuderia-ferrari-fz7009-eyeglasses?color=1,2
,Burberry,BE1392,421.0,294.7,30%,https://www.framesdirect.com/burberry-be1392-eyeglasses?color=1,2
,Ray-Ban,RB3681V,,162.0,,https://www.framesdirect.com/ray-ban-rb3681v-eyeglasses?color=3,2
,Oakley,Liteboard,,172.0,,https://www.framesdirect.com/oakley-liteboard-eyeglasses?color=10057590,2
,Ray-Ban,RB7190,,162.0,,https://www.framesdirect.com/ray-ban-rb7190-eyeglasses?color=10051085,2
,Costa,Ocean Ridge 710,,197.0,,https://www.framesdirect.com/costa-ocean-ridge-710-eyeglasses?color=1,2
,Oakley,Tincup,,346.0,,https://www.framesdirect.com/oakley-tincup-eyeglasses?color=2,2
,Tiffany & Co.,TF2271,453.0,317.1,30%,https://www.framesdirect.com/tiffany-co.-tf2271-eyeglasses?color=2,2
,Dolce & Gabbana,DG1361,480.0,336.0,30%,https://www.framesdirect.com/dolce-gabbana-dg1361-eyeglasses?color=1,2
,Gucci,GG2131O,490.0,416.5,15%,https://www.framesdirect.com/gucci-gg2131o-eyeglasses?color=10061708,2
,XXL,Sabercat,182.38,91.19,50%,https://www.framesdirect.com/xxl-sabercat-eyeglasses?color=1,2
,Ray-Ban,RB5406,,189.0,,https://www.framesdirect.com/ray-ban-rb5406-eyeglasses?color=4,2
,Oakley,Hex Jector (TruBridge),,187.0,,https://www.framesdirect.com/oakley-hex-jector-eyeglasses?color=4,2
,Versace,VE3404D,286.0,200.2,30%,https://www.framesdirect.com/versace-ve3404d-eyeglasses?color=3,2
,Versace,VE3399U,286.0,200.2,30%,https://www.framesdirect.com/versace-ve3399u-eyeglasses?color=3,2
,Versace,VE3398F,286.0,200.2,30%,https://www.framesdirect.com/versace-ve3398f-eyeglasses?color=3,2
,Versace,VE3398,286.0,200.2,30%,https://www.framesdirect.com/versace-ve3398-eyeglasses?color=3,3
,Versace,VE3397U,286.0,200.2,30%,https://www.framesdirect.com/versace-ve3397u-eyeglasses?color=10063428,3
,Versace,VE1326,406.0,284.2,30%,https://www.framesdirect.com/versace-ve1326-eyeglasses?color=10063416,3
,Versace,VE1325D,316.0,221.2,30%,https://www.framesdirect.com/versace-ve1325d-eyeglasses?color=10063413,3
,Versace,VE1324D,316.0,221.2,30%,https://www.framesdirect.com/versace-ve1324d-eyeglasses?color=10063410,3
,Versace,VE1323,406.0,284.2,30%,https://www.framesdirect.com/versace-ve1323-eyeglasses?color=10063407,3
,Versace,VE1322,480.0,336.0,30%,https://www.framesdirect.com/versace-ve1322-eyeglasses?color=10063404,3
,Versace,VE1320,480.0,336.0,30%,https://www.framesdirect.com/versace-ve1320-eyeglasses?color=10063403,3
,Burberry,BE2475D,296.0,207.2,30%,https://www.framesdirect.com/burberry-be2475d-eyeglasses?color=10063180,3
,Burberry,BE2474D,311.0,217.7,30%,https://www.framesdirect.com/burberry-be2474d-eyeglasses?color=10063176,3
,Burberry,BE2473D,311.0,217.7,30%,https://www.framesdirect.com/burberry-be2473d-eyeglasses?color=10063172,3
,Burberry,BE2471U,296.0,207.2,30%,https://www.framesdirect.com/burberry-be2471u-eyeglasses?color=10063168,3
,Burberry,BE2470U,296.0,207.2,30%,https://www.framesdirect.com/burberry-be2470u-eyeglasses?color=10063164,3
,Burberry,BE2467F,356.0,249.2,30%,https://www.framesdirect.com/burberry-be2467f-eyeglasses?color=10063160,3
,Burberry,BE2467,356.0,249.2,30%,https://www.framesdirect.com/burberry-be2467-eyeglasses?color=10063156,3
,Burberry,BE2466F,356.0,249.2,30%,https://www.framesdirect.com/burberry-be2466f-eyeglasses?color=10063153,3
,Burberry,BE2466,356.0,249.2,30%,https://www.framesdirect.com/burberry-be2466-eyeglasses?color=10063149,3
,Burberry,BE2465U,311.0,217.7,30%,https://www.framesdirect.com/burberry-be2465u-eyeglasses?color=10063145,3
,Burberry,BE2464U,311.0,217.7,30%,https://www.framesdirect.com/burberry-be2464u-eyeglasses?color=10063141,3
,Burberry,BE2463U,311.0,217.7,30%,https://www.framesdirect.com/burberry-be2463u-eyeglasses?color=10063137,3
,Burberry,BE1405,390.0,273.0,30%,https://www.framesdirect.com/burberry-be1405-eyeglasses?color=10063120,3
,Ray-Ban,RB6558,,186.0,,https://www.framesdirect.com/ray-ban-rb6558-eyeglasses?color=10063096,3
,Ray-Ban,RB5510,,210.0,,https://www.framesdirect.com/ray-ban-rb5510-eyeglasses?color=10063094,3
,Ray-Ban,RB5461D,,210.0,,https://www.framesdirect.com/ray-ban-rb5461d-eyeglasses?color=10063092,3
,Ray-Ban,RB5460,,195.0,,https://www.framesdirect.com/ray-ban-rb5460-eyeglasses?color=10063086,4
,Ray-Ban,RB5458D,,210.0,,https://www.framesdirect.com/ray-ban-rb5458d-eyeglasses?color=1,4
,Ray-Ban,RB5457D,,210.0,,https://www.framesdirect.com/ray-ban-rb5457d-eyeglasses?color=10063082,4
,Ray-Ban,RB5456,,186.0,,https://www.framesdirect.com/ray-ban-rb5456-eyeglasses?color=10063079,4
,Ray-Ban,RB5455F,,186.0,,https://www.framesdirect.com/ray-ban-rb5455f-eyeglasses?color=1,4
,Ray-Ban,RB5455,,186.0,,https://www.framesdirect.com/ray-ban-rb5455-eyeglasses?color=10063069,4
,Ray-Ban,RB3793V,,222.0,,https://www.framesdirect.com/ray-ban-rb3793v-eyeglasses?color=10063054,4
,Ray-Ban,RB3792V,,195.0,,https://www.framesdirect.com/ray-ban-rb3792v-eyeglasses?color=10063052,4
,Oakley,Pitchman R (Low Bridge Fit),,255.0,,https://www.framesdirect.com/oakley-pitchman-r-low-bridge-fit-eyeglasses?color=10063016,4
,Oakley,Paracord X,,242.0,,https://www.framesdirect.com/oakley-paracord-x-eyeglasses?color=10063030,4
,Oakley,Holbrook,,187.0,,https://www.framesdirect.com/oakley-holbrook-eyeglasses?color=10063018,4
,Oakley,Enigma Echo,,255.0,,https://www.framesdirect.com/oakley-enigma-echo-eyeglasses?color=10063035,4
,Oakley,BMNG ARC,,242.0,,https://www.framesdirect.com/oakley-bmng-arc-eyeglasses?color=10063024,4
,Costa,Ocean Ridge 840,,141.0,,https://www.framesdirect.com/costa-ocean-ridge-840-eyeglasses?color=10063008,4
,Costa,Ocean Ridge 430,,211.0,,https://www.framesdirect.com/costa-ocean-ridge-430-eyeglasses?color=10063011,4
,Costa,Bimini Road 640,,211.0,,https://www.framesdirect.com/costa-bimini-road-640-eyeglasses?color=10062998,4
,Ray-Ban,RB2221VF,,210.0,,https://www.framesdirect.com/ray-ban-rb2221vf-eyeglasses?color=1,4
,Ray-Ban,RB8777D,,277.0,,https://www.framesdirect.com/ray-ban-rb8777d-eyeglasses?color=10062884,4
,Ray-Ban,RB8776D,,277.0,,https://www.framesdirect.com/ray-ban-rb8776d-eyeglasses?color=10062882,4
,Ray-Ban,RB7683V,,344.0,,https://www.framesdirect.com/ray-ban-rb7683v-eyeglasses?color=1,4
,Ray-Ban,RB7553,,276.0,,https://www.framesdirect.com/ray-ban-rb7553-eyeglasses?color=10062872,4
,Ray-Ban,RB7552,,276.0,,https://www.framesdirect.com/ray-ban-rb7552-eyeglasses?color=10062869,4
,Ray-Ban,RB7551,,263.0,,https://www.framesdirect.com/ray-ban-rb7551-eyeglasses?color=10062865,4
,Ray-Ban,RB7550,,263.0,,https://www.framesdirect.com/ray-ban-rb7550-eyeglasses?color=10062860,4
,Ray-Ban,RB7260F,,210.0,,https://www.framesdirect.com/ray-ban-rb7260f-eyeglasses?color=10062849,5
,Ray-Ban,RB7258F,,176.0,,https://www.framesdirect.com/ray-ban-rb7258f-eyeglasses?color=10062978,5
,Ray-Ban,RB7257F,,176.0,,https://www.framesdirect.com/ray-ban-rb7257f-eyeglasses?color=10062974,5
